"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jornada.Mogollon.Brown.Ware","Little.Colorado.White.Ware","Lower.Colorado.Buff.Ware","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Salado.Series","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware"
"Garcia Ranch",0,0,0,214.16,152.47,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0
"Carter Ranch Pueblo",0,0,0,8139.74,631.9,0,0,0,0,0,0,772.31,0,0,0,0,0,0,0
"Broken K Pueblo",0,0,0,3126.86,1225.12,0,0,0,0,0,0,485.53,0,0,0,0,0.33,0,0.61
"Hardscrabble Ruin",0,0,0,157.81,68.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houghton Site",0,0,0,15.94,17.38,0,0,0.14,0,0,0,0.64,0,0,0,0,0,0,0.72
"Seven Springs",0,0,0,83.35,32.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malpais Spring",0,0,0,0.18,3.59,0,0,18.74,0,0,0,0,0,0,0,0,0.68,0,6.04
"Chezhinchotah",0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,1.71
"Scribe S",0,0,0,406.07,2670.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lower Deracho",0,0,0,4.3,17.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Box S",0,0,0,26.75,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 15560",0,0,0,9.48,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 47563",0,0,0,0.56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Gigantes",0,0,0,205.61,532.8,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0
"Spier 81",0,0,0,71.34,119.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 109857",0,0,0,27.15,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LA 109993",0,0,0,36,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citadel/Nalakihu",0,0,0,0,0,0,0,517.93,0,0,0,0,1493.39,0,0,0,27.93,0,372.11
"Wupatki",0,0,0,0,6.04,1,0,623.89,0,0,0,0.47,0,0,0,0,82.8,0,1880.69
"Crack-in-Rock",0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,1.49,0,9.37
"Many Farms",0,0,0,1.15,0,0,0,0.24,0,0,0,0,0,0,0,0,1.6,0,3.28
"Lukachukai GH",0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,10.03,0,4.08
"Antelope House",0,0,0,0.65,65.73,0,0,15.09,0,90.88,0,0,0,0,0,0,49.47,0,12.58
"White House II",0,0,0,12.68,27.01,0,0,16,0,38.95,0,0,0,0,0,0,17.38,0,44.87
"Salina Springs II",0,0,0,0,0.57,0,0,3,0,0,0,0,0,0,0,0,9.02,0,14.04
"Boss Ranch",0,13.77,0,22.7,38.06,0,5.39,0,0,0,0,0.71,0,0.8,0,0,0,1.28,0
"Old Caves",0,0,0,0,0,0,0,11,0,0,0,0,1.42,0,0,0,4.59,0,26.08
"Elden Pueblo",0,0,0,0,0.43,0,0,7.83,0,0,0,0,0,0,0,0,0.5,0,7.03
"Turkey Hill Pueblo",0,0,0,0.92,2.24,0,0,20.95,0,0,0,0,0,0,0,0,6.28,0,41.93
"Ridge Ruin",0,0,0,0,0,0,0,346.1,0,0,0,0,0,0,0,0,35.92,0,317.89
"Tachini Point",0,0,0,0.42,0.34,0,0,0,0,0.72,0,0,0,0,0,0,202.62,0,114.59
"Inscription House",0,0,0,0.4,0,0,0,2,0,0,0,0,0,0,0,0,5810.23,0,7125.01
"Tower House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.94,0,3.91
"Batwoman House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,6.49
"Twin Caves Pueblo",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,25.88,0,19.36
"Red House",0,0,0,5.37,8.99,0,0,22,0,0,0,0,0,0,0,0,22.98,0,48.69
"NA 4157",0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,4.06,0,1.32
"Kinlani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,6.21
"Olla House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,2.58
"Double Wall Ruin",0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,8.23,0,13.34
"NA 5628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,15.63
"Hummingbird House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,5.75
"NA 8816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,4.16
"NA 8820",0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,46.33,0,35.24
"NA 8886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,6.48
"NA 8895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73,0,11.48
"Organ Rock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56,0,0.77
"Pueblo Grande",0,0,0,0,0,0,0,0,0,0,1687.51,0,0,0,0,0,0,0,0
"Burnt Corn GH",0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,3.84,0,2.52
"Pinon Ruin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,66.71
"AZ E:6:1",0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Ford House",0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,9.75,0,4
"Montezuma Well (E.Rim)",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.24,0,1,0,1
"Montezuma Castle A & B",0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,8,0,6
"Honanki",0,0,0,0,0,0,0,4,0,0,0,0,1.98,0,0,0,2.21,0,10.08
"Piglet",0,0,0,4.28,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0.56
"Zanardelli Site",0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,234.93,0
"Gibbon  Springs",0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1635.06,0
"Fitzmaurice Ruin",0,0,0,0,1,0,0,12.19,0,0.22,0,0,1186.17,0,0,0,2.35,0,26.27
"University Indian Ruins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.63,0
"Pueblo Blanco",0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0
"Sunset Mesa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,0
"Pueblo Salado",0,0,0,0,0,0,0,0.95,3.05,0,92.33,0,0.82,0,0,0,0,18.32,0
"White Rincon",0,0,0,0.29,0,0,0,0,0,0,0.23,0,0,0,0,0,0,72.66,0
"Jackrabbit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5,0
"Casa Grande",0,0.04,0,1.98,0,0,0,0,0,0,6841.48,5.15,0,0,0,0,0,54.86,0
"Las Colinas",0,0,0,3.73,0,0,0,14,338.44,0,1302.13,0,16.91,0,0,0,237.12,398.46,91.15
"Whiptail Ruin",0,0.23,0,23.84,1.74,0,0,0,0.31,0,1.29,1.17,0,0,0,0,0,9260.83,0
"Tanque Verde Village",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.85,0
"Brady Wash",0,0,0,5.6,0,0,0,0,0,0,558.35,0,0,0,0.21,0,0,22.01,0
"Mendoza Canyon",0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,48.39,0
"Escalante",0,0,0,0,0,0,0,0,0,0,174.65,0,0,0,0,0,0,0,0
"Las Acequias",0,0,0,0,0,0,0,0,0,0,322.9,0,0,0,0,0,0,0,0
"Dakota Wash",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,0
